tnxid,tnxdate,ccn,amount,userid,first_name,last_name,email,gender,ssn,ip_address,address,country,region
3460,2019-11-09 22:06:03,6331100961481178,116.87,kgasker0,Kirk,Gasker,kgasker0@cloudflare.com,M,484-27-5155,74.130.193.135,34422 Laurel Court,USA,NA
3757,2019-10-06 12:14:31,201948519825530,243.1,nflaherty1,Nicholle,Flaherty,nflaherty1@alexa.com,F,477-33-6133,187.113.99.119,5 Eastlawn Road,USA,NA
3931,2020-03-09 00:07:01,3542773720531988,186.62,sraynor2,Shirleen,Raynor,sraynor2@cdbaby.com,F,605-39-1420,173.88.86.146,90640 Dottie Way,USA,NA
4030,2019-10-10 07:09:11,3545018821514401,878.19,aeggins3,Alexandre,Eggins,aeggins3@cargocollective.com,M,782-81-5021,187.190.129.23,30661 Roxbury Center,USA,NA
3564,2020-05-06 04:40:51,5127010714478704,126.74,rcornbill4,Robbert,Cornbill,rcornbill4@dagondesign.com,M,471-59-0558,137.247.212.100,4 Fordem Place,Finland,EMEA
3761,2019-10-11 20:57:02,3585729922845707,248.74,jbeckson5,Jacklyn,Beckson,jbeckson5@macromedia.com,F,597-11-0319,179.69.193.177,9384 Crest Line Circle,France,EMEA
3921,2019-11-17 08:46:03,5113153905678272,492.35,mblackledge6,Marten,Blackledge,mblackledge6@youku.com,M,897-34-6903,168.80.119.62,29223 Tony Point,USA,NA
3627,2020-04-25 05:44:00,3535134729453089,494.29,acosby7,Ann-marie,Cosby,acosby7@nydailynews.com,F,252-43-1933,91.79.208.21,21703 Claremont Court,USA,NA
3867,2020-05-17 14:04:27,5602255610439272739,596.93,hgiblin8,Helaina,Giblin,hgiblin8@auda.org.au,F,867-68-9478,79.36.173.126,68 Schlimgen Point,UK,EMEA
3804,2019-10-01 21:25:30,5539239490804948,355.79,dhazlewood9,Domeniga,Hazlewood,dhazlewood9@home.pl,F,823-37-3672,61.149.186.130,39277 Lakewood Park,Australia,APAC
3865,2019-09-25 04:59:29,5602235149479589,121.4,pstraingea,Pascal,Strainge,pstraingea@si.edu,M,261-30-0678,61.65.89.76,785 Westridge Point,UK,EMEA
3926,2019-07-11 08:07:26,3582321839344769,160.97,rilyasb,Royce,Ilyas,rilyasb@illinois.edu,M,525-37-6778,193.66.244.204,354 Duke Junction,USA,NA
4436,2019-05-28 06:42:49,633367510873757952,334.41,umangeneyc,Ulrikaumeko,Mangeney,umangeneyc@etsy.com,F,783-82-2924,181.100.145.193,5159 Bay Plaza,Ireland,EMEA
3883,2019-11-18 12:16:04,6759679443835112,925.55,nstendalld,Nickolai,Stendall,nstendalld@imdb.com,M,529-44-9383,214.221.27.11,9896 Granby Lane,USA,NA
4279,2020-02-16 02:43:49,3571794646685603,919.97,rcaltune,Rubin,Caltun,rcaltune@google.co.uk,M,326-50-9872,253.253.99.120,1 Atwood Court,Australia,APAC
4307,2020-03-19 01:40:22,3547421799411485,122.11,tkeedwellf,Tom,Keedwell,tkeedwellf@reddit.com,M,162-76-7725,233.117.200.168,32135 Anderson Road,Philippines,APAC
3493,2020-05-13 15:25:55,4936438085874272044,493.57,rgiovaniziog,Roxi,Giovanizio,rgiovaniziog@pbs.org,F,332-77-5932,193.13.111.185,224 Crowley Drive,Spain,EMEA
4416,2019-12-03 03:00:24,346510154504287,659.01,cfarnesh,Cirilo,Farnes,cfarnesh@imdb.com,M,765-27-0223,167.61.217.22,14 Kim Terrace,USA,NA
4097,2020-04-24 23:02:12,374288414446558,954.5,eparkmani,Ernestine,Parkman,eparkmani@ehow.com,F,752-62-7288,115.108.33.246,050 Schurz Way,Philippines,APAC
